Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Sampling,Bias_type,RUL
1,11.01776909,34.50043276,0.1,131.1,10,b,177.3131368
1,0,61.53641097,0.2,131,10,b,177.3131368
1,4.055263221,72.33243798,0.3,130.9,10,b,177.3131368
1,0,77.13322997,0.4,130.8,10,b,177.3131368
1,0,79.47081996,0.5,130.7,10,b,177.3131368
1,0,81.28892739,0.6,130.6,10,b,177.3131368
1,0.001039893,82.16822497,0.7,130.5,10,b,177.3131368
1,7.685260068,83.23717612,0.8,130.4,10,b,177.3131368
1,0.469398676,83.01371044,0.9,130.3,10,b,177.3131368
1,0,83.4459485,1,130.2,10,b,177.3131368
1,0,83.55487536,1.1,130.1,10,b,177.3131368
1,10.69784015,83.33703392,1.2,130,10,b,177.3131368
1,3.950045344,83.23717612,1.3,129.9,10,b,177.3131368
1,0,83.84534288,1.4,129.8,10,b,177.3131368
1,0,84.16304212,1.5,129.7,10,b,177.3131368
1,0,84.08134697,1.6,129.6,10,b,177.3131368
1,7.948296642,83.7818104,1.7,129.5,10,b,177.3131368
1,18.98587639,84.14489173,1.8,129.4,10,b,177.3131368
1,14.86683253,84.09950963,1.9,129.3,10,b,177.3131368
1,0,84.36273317,2,129.2,10,b,177.3131368
1,15.12495586,84.29011936,2.1,129.1,10,b,177.3131368
1,16.54269484,83.89072498,2.2,129,10,b,177.3131368
1,0.224394595,84.12674135,2.3,128.9,10,b,177.3131368
1,0,83.98150145,2.4,128.8,10,b,177.3131368
1,11.27437313,84.21750554,2.5,128.7,10,b,177.3131368
1,0,84.22658687,2.6,128.6,10,b,177.3131368
1,15.70664207,84.17212344,2.7,128.5,10,b,177.3131368
1,26.76835146,83.71826564,2.8,128.4,10,b,177.3131368
1,0,84.0450462,2.9,128.3,10,b,177.3131368
1,0,83.92703802,3,128.2,10,b,177.3131368
1,18.10084827,83.89072498,3.1,128.1,10,b,177.3131368
1,0,83.65472088,3.2,128,10,b,177.3131368
1,13.59266585,83.72734697,3.3,127.9,10,b,177.3131368
1,0,84.17212344,3.4,127.8,10,b,177.3131368
1,1.291873996,83.7364283,3.5,127.7,10,b,177.3131368
1,0,84.14489173,3.6,127.6,10,b,177.3131368
1,0,84.23565593,3.7,127.5,10,b,177.3131368
1,34.33721117,83.80904211,3.8,127.4,10,b,177.3131368
1,28.48401102,83.97242012,3.9,127.3,10,b,177.3131368
1,29.6452235,84.15396079,4,127.2,10,b,177.3131368
1,37.8226896,84.24473726,4.1,127.1,10,b,177.3131368
1,0,84.1811925,4.2,127,10,b,177.3131368
1,20.61538485,84.3264324,4.3,126.9,10,b,177.3131368
1,0,83.97242012,4.4,126.8,10,b,177.3131368
1,9.212456287,83.76364774,4.5,126.7,10,b,177.3131368
1,0,83.6819526,4.6,126.6,10,b,177.3131368
1,27.69515469,84.01781449,4.7,126.5,10,b,177.3131368
1,0,83.97242012,4.8,126.4,10,b,177.3131368
1,0,84.35366411,4.9,126.3,10,b,177.3131368
1,22.11302558,84.12674135,5,126.2,10,b,177.3131368
1,0,84.20842421,5.1,126.1,10,b,177.3131368
1,26.30497467,84.1811925,5.2,126,10,b,177.3131368
1,0,84.33550145,5.3,125.9,10,b,177.3131368
1,20.61748929,84.39904621,5.4,125.8,10,b,177.3131368
1,13.46751092,84.0904283,5.5,125.7,10,b,177.3131368
1,0,83.7818104,5.6,125.6,10,b,177.3131368
1,0,83.93610708,5.7,125.5,10,b,177.3131368
1,11.04434165,84.14489173,5.8,125.4,10,b,177.3131368
1,5.081164284,84.3264324,5.9,125.3,10,b,177.3131368
1,0,84.39904621,6,125.2,10,b,177.3131368
1,10.71760872,84.27196897,6.1,125.1,10,b,177.3131368
1,4.992543317,84.15396079,6.2,125,10,b,177.3131368
1,0,84.07227792,6.3,124.9,10,b,177.3131368
1,52.94311018,84.14489173,6.4,124.8,10,b,177.3131368
1,0,84.09950963,6.5,124.7,10,b,177.3131368
1,22.90894693,84.0450462,6.6,124.6,10,b,177.3131368
1,0,84.23565593,6.7,124.5,10,b,177.3131368
1,0.982756354,84.08134697,6.8,124.4,10,b,177.3131368
1,16.58036585,84.14489173,6.9,124.3,10,b,177.3131368
1,0,84.30826974,7,124.2,10,b,177.3131368
1,0,84.35366411,7.1,124.1,10,b,177.3131368
1,0,84.23565593,7.2,124,10,b,177.3131368
1,15.31285002,83.98150145,7.3,123.9,10,b,177.3131368
1,56.68457204,84.30826974,7.4,123.8,10,b,177.3131368
1,26.04498366,84.31735107,7.5,123.7,10,b,177.3131368
1,36.33189787,84.16304212,7.6,123.6,10,b,177.3131368
1,4.172454125,83.86349326,7.7,123.5,10,b,177.3131368
1,0,83.92703802,7.8,123.4,10,b,177.3131368
1,0.206848629,84.12674135,7.9,123.3,10,b,177.3131368
1,15.79333854,84.36273317,8,123.2,10,b,177.3131368
1,1.387782902,84.09950963,8.1,123.1,10,b,177.3131368
1,11.57698506,83.99058278,8.2,123,10,b,177.3131368
1,0,84.07227792,8.3,122.9,10,b,177.3131368
1,15.67890399,84.31735107,8.4,122.8,10,b,177.3131368
1,19.74645857,84.48982268,8.5,122.7,10,b,177.3131368
1,0,84.48074135,8.6,122.6,10,b,177.3131368
1,27.99332917,84.36273317,8.7,122.5,10,b,177.3131368
1,2.854511835,84.7802902,8.8,122.4,10,b,177.3131368
1,32.53160708,84.53520478,8.9,122.3,10,b,177.3131368
1,0,84.31735107,9,122.2,10,b,177.3131368
1,0,84.09950963,9.1,122.1,10,b,177.3131368
1,0,84.34458278,9.2,122,10,b,177.3131368
1,0,84.52612345,9.3,121.9,10,b,177.3131368
1,6.278201305,84.35366411,9.4,121.8,10,b,177.3131368
1,9.351439157,84.27196897,9.5,121.7,10,b,177.3131368
1,0,84.19935516,9.6,121.6,10,b,177.3131368
1,9.048600246,84.28103803,9.7,121.5,10,b,177.3131368
1,35.36947916,84.26288764,9.8,121.4,10,b,177.3131368
1,29.99771573,84.31735107,9.9,121.3,10,b,177.3131368
1,27.62344181,84.65320069,10,121.2,10,b,177.3131368
1,0,84.59873726,10.1,121.1,10,b,177.3131368
1,0.740563429,84.22658687,10.2,121,10,b,177.3131368
1,0,84.58058688,10.3,120.9,10,b,177.3131368
1,8.628529682,84.55335516,10.4,120.8,10,b,177.3131368
1,0,84.57150555,10.5,120.7,10,b,177.3131368
1,17.31800055,84.70767639,10.6,120.6,10,b,177.3131368
1,9.940688724,84.55335516,10.7,120.5,10,b,177.3131368
1,10.25391493,84.22658687,10.8,120.4,10,b,177.3131368
1,0,84.50797307,10.9,120.3,10,b,177.3131368
1,19.99815521,84.66228202,11,120.2,10,b,177.3131368
1,0,84.81659097,11.1,120.1,10,b,177.3131368
1,3.035131079,84.77120887,11.2,120,10,b,177.3131368
1,11.26820975,84.62596898,11.3,119.9,10,b,177.3131368
1,0,84.40812754,11.4,119.8,10,b,177.3131368
1,4.313759678,84.02688355,11.5,119.7,10,b,177.3131368
1,12.27734511,84.39904621,11.6,119.6,10,b,177.3131368
1,0,84.50797307,11.7,119.5,10,b,177.3131368
1,13.52979652,84.58966821,11.8,119.4,10,b,177.3131368
1,0,84.38996488,11.9,119.3,10,b,177.3131368
1,0,84.66228202,12,119.2,10,b,177.3131368
1,12.47717017,84.70767639,12.1,119.1,10,b,177.3131368
1,24.28458548,84.79844059,12.2,119,10,b,177.3131368
1,20.11699628,84.56243649,12.3,118.9,10,b,177.3131368
1,0,84.70767639,12.4,118.8,10,b,177.3131368
1,2.470124806,84.78937153,12.5,118.7,10,b,177.3131368
1,2.794609974,84.78937153,12.6,118.6,10,b,177.3131368
1,10.01943716,84.55335516,12.7,118.5,10,b,177.3131368
1,6.37011388,84.4171966,12.8,118.4,10,b,177.3131368
1,0,84.35366411,12.9,118.3,10,b,177.3131368
1,6.654129591,84.58058688,13,118.2,10,b,177.3131368
1,5.921176175,84.48074135,13.1,118.1,10,b,177.3131368
1,14.22153411,84.7349081,13.2,118,10,b,177.3131368
1,0,84.68952601,13.3,117.9,10,b,177.3131368
1,35.12031943,84.23565593,13.4,117.8,10,b,177.3131368
1,68.45009548,84.60781859,13.5,117.7,10,b,177.3131368
1,3.44474225,84.6804324,13.6,117.6,10,b,177.3131368
1,0.906781793,84.57150555,13.7,117.5,10,b,177.3131368
1,6.009939088,84.21750554,13.8,117.4,10,b,177.3131368
1,29.27874962,84.44444058,13.9,117.3,10,b,177.3131368
1,0,84.74397716,14,117.2,10,b,177.3131368
1,17.13288264,84.86198534,14.1,117.1,10,b,177.3131368
1,8.691116634,84.58058688,14.2,117,10,b,177.3131368
1,0,84.58966821,14.3,116.9,10,b,177.3131368
1,0,84.76213982,14.4,116.8,10,b,177.3131368
1,12.04928677,84.4171966,14.5,116.7,10,b,177.3131368
1,25.57026798,84.30826974,14.6,116.6,10,b,177.3131368
1,0,84.61689992,14.7,116.5,10,b,177.3131368
1,11.34146758,84.40812754,14.8,116.4,10,b,177.3131368
1,39.77377282,84.51705439,14.9,116.3,10,b,177.3131368
1,0,84.23565593,15,116.2,10,b,177.3131368
1,0,84.55335516,15.1,116.1,10,b,177.3131368
1,10.46616278,84.54428611,15.2,116,10,b,177.3131368
1,0,84.7349081,15.3,115.9,10,b,177.3131368
1,0,84.63505031,15.4,115.8,10,b,177.3131368
1,23.90989938,84.61689992,15.5,115.7,10,b,177.3131368
1,26.82630513,84.38089583,15.6,115.6,10,b,177.3131368
1,0,84.66228202,15.7,115.5,10,b,177.3131368
1,5.638472964,84.60781859,15.8,115.4,10,b,177.3131368
1,11.94417588,84.84382269,15.9,115.3,10,b,177.3131368
1,17.93510765,84.70767639,16,115.2,10,b,177.3131368
1,0,84.52612345,16.1,115.1,10,b,177.3131368
1,30.89965497,84.6804324,16.2,115,10,b,177.3131368
1,0,84.42627792,16.3,114.9,10,b,177.3131368
1,23.35405681,84.57150555,16.4,114.8,10,b,177.3131368
1,17.9315695,84.80752192,16.5,114.7,10,b,177.3131368
1,0,84.28103803,16.6,114.6,10,b,177.3131368
1,9.373778102,84.92551783,16.7,114.5,10,b,177.3131368
1,2.926142024,84.6804324,16.8,114.4,10,b,177.3131368
1,32.64525099,84.58058688,16.9,114.3,10,b,177.3131368
1,0,84.03596488,17,114.2,10,b,177.3131368
1,10.45126266,84.29011936,17.1,114.1,10,b,177.3131368
1,0,84.48982268,17.2,114,10,b,177.3131368
1,0,84.88013573,17.3,113.9,10,b,177.3131368
1,7.382538628,84.58058688,17.4,113.8,10,b,177.3131368
1,0,84.59873726,17.5,113.7,10,b,177.3131368
1,0,84.48982268,17.6,113.6,10,b,177.3131368
1,11.1731271,84.60781859,17.7,113.5,10,b,177.3131368
1,24.7866785,84.9709122,17.8,113.4,10,b,177.3131368
1,2.087634453,84.70767639,17.9,113.3,10,b,177.3131368
1,10.73689841,84.46259097,18,113.2,10,b,177.3131368
1,9.298339561,84.75305849,18.1,113.1,10,b,177.3131368
1,25.24772898,84.27196897,18.2,113,10,b,177.3131368
1,0,84.67135108,18.3,112.9,10,b,177.3131368
1,14.06826162,84.78937153,18.4,112.8,10,b,177.3131368
1,29.51424615,84.58966821,18.5,112.7,10,b,177.3131368
1,0.167524246,84.97998126,18.6,112.6,10,b,177.3131368
1,0,85.07075773,18.7,112.5,10,b,177.3131368
1,23.48949288,84.94368049,18.8,112.4,10,b,177.3131368
1,49.12047149,84.51705439,18.9,112.3,10,b,177.3131368
1,0.806269319,84.45350964,19,112.2,10,b,177.3131368
1,0,84.59873726,19.1,112.1,10,b,177.3131368
1,0.688465688,84.48074135,19.2,112,10,b,177.3131368
1,14.22022148,84.38089583,19.3,111.9,10,b,177.3131368
1,0,84.14489173,19.4,111.8,10,b,177.3131368
1,7.293125148,84.01781449,19.5,111.7,10,b,177.3131368
1,2.455400209,84.06319659,19.6,111.6,10,b,177.3131368
1,0,84.42627792,19.7,111.5,10,b,177.3131368
1,0,84.38996488,19.8,111.4,10,b,177.3131368
1,0,84.10857869,19.9,111.3,10,b,177.3131368
1,11.80283759,84.26288764,20,111.2,10,b,177.3131368
1,6.742837843,84.05411526,20.1,111.1,10,b,177.3131368
1,0,84.12674135,20.2,111,10,b,177.3131368
1,24.59045893,84.1811925,20.3,110.9,10,b,177.3131368
1,0,84.12674135,20.4,110.8,10,b,177.3131368
1,52.35327607,84.01781449,20.5,110.7,10,b,177.3131368
1,62.00983208,83.89072498,20.6,110.6,10,b,177.3131368
1,34.35357265,84.14489173,20.7,110.5,10,b,177.3131368
1,0,84.29011936,20.8,110.4,10,b,177.3131368
1,18.04945747,84.3264324,20.9,110.3,10,b,177.3131368
1,33.22547081,84.58058688,21,110.2,10,b,177.3131368
1,0,83.99965183,21.1,110.1,10,b,177.3131368
1,51.75178168,84.44444058,21.2,110,10,b,177.3131368
1,19.20691437,84.43535925,21.3,109.9,10,b,177.3131368
1,33.15758326,84.38089583,21.4,109.8,10,b,177.3131368
1,11.80319018,84.38996488,21.5,109.7,10,b,177.3131368
1,0,84.16304212,21.6,109.6,10,b,177.3131368
1,15.51709208,84.42627792,21.7,109.5,10,b,177.3131368
1,0.72017696,84.17212344,21.8,109.4,10,b,177.3131368
1,0,84.12674135,21.9,109.3,10,b,177.3131368
1,11.80271918,83.95426973,22,109.2,10,b,177.3131368
1,0,83.92703802,22.1,109.1,10,b,177.3131368
1,10.0190742,83.99058278,22.2,109,10,b,177.3131368
1,0,84.1358104,22.3,108.9,10,b,177.3131368
1,0,84.02688355,22.4,108.8,10,b,177.3131368
1,30.50398096,84.42627792,22.5,108.7,10,b,177.3131368
1,14.61805303,84.71675772,22.6,108.6,10,b,177.3131368
1,22.93372998,84.68952601,22.7,108.5,10,b,177.3131368
1,20.73895161,84.24473726,22.8,108.4,10,b,177.3131368
1,0,84.30826974,22.9,108.3,10,b,177.3131368
1,5.833773027,84.28103803,23,108.2,10,b,177.3131368
1,42.43613189,84.03596488,23.1,108.1,10,b,177.3131368
1,21.28744769,84.40812754,23.2,108,10,b,177.3131368
1,11.06570289,83.75457868,23.3,107.9,10,b,177.3131368
1,11.21592019,84.06319659,23.4,107.8,10,b,177.3131368
1,4.492806853,84.06319659,23.5,107.7,10,b,177.3131368
1,19.82717362,84.22658687,23.6,107.6,10,b,177.3131368
1,24.12971467,84.44444058,23.7,107.5,10,b,177.3131368
1,12.21275793,84.01781449,23.8,107.4,10,b,177.3131368
1,44.95211395,84.0450462,23.9,107.3,10,b,177.3131368
1,37.53293974,84.25380631,24,107.2,10,b,177.3131368
1,25.55134722,84.38089583,24.1,107.1,10,b,177.3131368
1,38.75220468,84.48074135,24.2,107,10,b,177.3131368
1,8.780036702,84.00873316,24.3,106.9,10,b,177.3131368
1,3.620232974,84.06319659,24.4,106.8,10,b,177.3131368
1,57.26761463,84.3264324,24.5,106.7,10,b,177.3131368
1,4.869461369,84.48982268,24.6,106.6,10,b,177.3131368
1,16.46182624,84.26288764,24.7,106.5,10,b,177.3131368
1,54.88273837,84.20842421,24.8,106.4,10,b,177.3131368
1,10.26309717,84.30826974,24.9,106.3,10,b,177.3131368
1,12.53877454,84.0450462,25,106.2,10,b,177.3131368
1,32.86645477,84.19935516,25.1,106.1,10,b,177.3131368
1,36.50870121,84.11766002,25.2,106,10,b,177.3131368
1,33.19396472,84.27196897,25.3,105.9,10,b,177.3131368
1,38.86682515,84.61689992,25.4,105.8,10,b,177.3131368
1,38.64998414,84.53520478,25.5,105.7,10,b,177.3131368
1,36.80784972,84.22658687,25.6,105.6,10,b,177.3131368
1,33.92500432,84.07227792,25.7,105.5,10,b,177.3131368
1,33.93232012,84.34458278,25.8,105.4,10,b,177.3131368
1,8.59467207,84.1811925,25.9,105.3,10,b,177.3131368
1,9.231945336,84.1811925,26,105.2,10,b,177.3131368
1,38.66465799,84.33550145,26.1,105.1,10,b,177.3131368
1,51.12215148,84.38089583,26.2,105,10,b,177.3131368
1,37.27527801,84.51705439,26.3,104.9,10,b,177.3131368
1,26.53689876,84.49889174,26.4,104.8,10,b,177.3131368
1,12.43068133,84.12674135,26.5,104.7,10,b,177.3131368
1,55.04920036,84.26288764,26.6,104.6,10,b,177.3131368
1,24.73894929,84.58966821,26.7,104.5,10,b,177.3131368
1,31.45752321,84.62596898,26.8,104.4,10,b,177.3131368
1,44.05274007,84.46259097,26.9,104.3,10,b,177.3131368
1,0,84.57150555,27,104.2,10,b,177.3131368
1,57.26277747,84.48074135,27.1,104.1,10,b,177.3131368
1,18.14823987,83.95426973,27.2,104,10,b,177.3131368
1,49.52988153,84.34458278,27.3,103.9,10,b,177.3131368
1,17.3737772,84.44444058,27.4,103.8,10,b,177.3131368
1,23.84279919,84.19935516,27.5,103.7,10,b,177.3131368
1,39.4763206,84.38089583,27.6,103.6,10,b,177.3131368
1,26.74469394,83.90887536,27.7,103.5,10,b,177.3131368
1,22.44004446,83.98150145,27.8,103.4,10,b,177.3131368
1,42.13174544,83.89072498,27.9,103.3,10,b,177.3131368
1,0.978426948,84.28103803,28,103.2,10,b,177.3131368
1,30.49248805,84.54428611,28.1,103.1,10,b,177.3131368
1,14.40860409,84.33550145,28.2,103,10,b,177.3131368
1,35.16631369,84.22658687,28.3,102.9,10,b,177.3131368
1,42.94882447,83.93610708,28.4,102.8,10,b,177.3131368
